"Artist","Title","Director","Year","Authority_Signal","Visual_Hook"
"FKA Twigs","Cellophane","Andrew Thomas Huang","2019","UKMVA Video of Year + Camerimage Nom","Pole Dance Insectoid VFX"
"The Chemical Brothers","We've Got To Try","Ninian Doff","2019","UKMVA Best Dance + 1.4 Awards","Dog Driving Formula 1"
"A$AP Rocky","Babushka Boi","Nadia Lee Cohen","2019","D&AD Pencil + Director's Library","Prosthetic Dick Tracy Villain"
"Flume","Hi This Is Flume (Visualizer)","Jonathan Zawada","2019","Grammy Nom Best Film + Trendsetter","Glitch Art Desert Roadtrip"
"Rosalía","A Palé","Jora Frantzis","2019","Promonews Best of Year + Styling","Unibrow Industrial Gothic"
"Stormzy","Vossi Bop","Henry Scholfield","2019","UKMVA Best Hip Hop + Craft Benchmark","Invisible Transition Mastery"
"Tove Lo","Glad He's Gone","Vania Heymann & Gal Muggia","2019","Grammy Nom + Vimeo Staff Pick","Infinite Landscape Walk"
"Lorn","Pawns","Pavel Brenner","2019","Director's Library + Motion Design Awards","Retro-Futurist Chess Duel"
"James Blake","Can't Believe The Way We Flow","Frank Lebon","2019","UKMVA Best VFX + Dazed","Melting Face Montage"
"Agoria","Embrace","Jessy Moussallem","2019","Vimeo Best of Year + 1.4 Awards Gold","Military Sci-Fi Documentary"
"Thom Yorke","Last I Heard (...He Was Circling The Drain)","Art Camp & Saad Moosajee","2019","UKMVA Best Animation Winner","Rotoscoped Dream World"
"Lil Nas X","Old Town Road","Calmatic","2019","Grammy Winner + Grand Prix","Anachronistic Western Movie"
"Brittany Howard","Stay High","Kim Gehrig","2019","Cannes Lions + Grammy Winner","Working Class Lip-Sync"
"Hot Chip","Hungry Child","Saman Kesh","2019","SXSW Excellence + Vimeo Staff Pick","Meta-Sitcom Curse"
"Beardyman","6am (Ready to Write)","Ian Pons Jewell","2019","UKMVA Video of Year Nom + 1.4 Awards","Infinite Production Loop"
"Tierra Whack","Unemployed","Cat Solen","2019","Promonews Best of Year + Surrealism","Potato Person Cooking"
"Bon Iver","Naeem","AG Rojas","2019","Director's Library + Nowness","Levitating Rock Mystery"
"Little Simz","Selfish","Jeremy Ngatho Cole","2019","Promonews Best of 2019","Minimalist Isolation framing"
"Slowthai","Inglorious","The Rest","2019","UKMVA Best Urban Nom","Clockwork Orange Satire"
"Kelsey Lu","Foreign Car","Vincent Haycock","2019","UKMVA Best R&B Int Nom","Cinematic Period Drama"
"The Chemical Brothers","Eve of Destruction","Adam Smith & Marcus Lyall","2019","Promonews Best of Month","Power Rangers Tokusatsu Spoof"
"J Balvin & Skrillex","In Da Getto","Alfred Marroquin","2019","Promonews Best of 2019","Surreal Neighborhood Party"
"EarthWhack","Mumbo Jumbo","Marco Prestini","2019","UKMVA Best Rock Int","Guillotine Dental Surrealism"
"Lolo Zouaï","Moi","Camberton","2019","UKMVA Best Pop Newcomer","Fisheye Isolation Loop"
"FKA Twigs","Home With You","FKA Twigs","2019","Dazed + Director's Library","Lo-Fi Horror to Club"
